Tên,Googlemap,Link ảnh,Tọa độ,Đánh giá,Số lượng đánh giá,Địa chỉ
HANOK CAFE,https://maps.app.goo.gl/iBQfacNSsiwrjfL27,https://media-cdn.tripadvisor.com/media/photo-s/25/0e/77/b5/hanok-cafe.jpg,"16.4695933,107.5956284","4,6",172,"14A Kiệt 64 Nguyễn Công Trứ, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
tan. original,https://maps.app.goo.gl/CgerszhXQUskx3V2A,https://tan-co.vn/wp-content/uploads/elementor/thumbs/IMG_9532-scaled-q8kwqsyo6f2dhip4x41omz2hsat6h2b0j5967s7kby.jpg,"16.4649865,107.5865269","4,5",278,"14 Phạm Hồng Thái, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế 52000, Việt Nam"
Cafe An Nhiên,https://maps.app.goo.gl/k7v7sMbL2yuTpk437,https://d3tosvr3yotk6r.cloudfront.net/Content/UserUploads/Images/Locations/4/2201/medium_an-nhien-garden-photo-4-1068x712.jpg,"16.4630501,107.5988351","3,8",254,"6 Hà Huy Tập, Xuân Phú, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Zone 7 Coffee & Beer,https://maps.app.goo.gl/VMVNpfpPYpXpGTRb7,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/0a/b3/0e/27-mars-2019.jpg,"16.4604087,107.5987673","3,5",14,"11 Phong Châu, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế 530000"
Quán Nina Cafe,https://maps.app.goo.gl/i5CBWYCkedLAVAXQ7,https://media-cdn.tripadvisor.com/media/photo-s/17/8a/47/22/nina-s-cafe.jpg,"16.4643122,107.5927274","4,7",1504,"16 34 Nguyễn Tri Phương, Phú Hội, Thành phố Huế, Thừa Thiên Huế 530000"
Root coffee roastery,https://maps.app.goo.gl/mzVMgbfiQdLa7BaZ8,https://media-cdn.tripadvisor.com/media/photo-s/10/78/d8/b4/getlstd-property-photo.jpg,"16.4631484,107.5900283","4,4",16,"43 Đ. Ngô Quyền, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Tiệm Cà Phê Vọng Cảnh,https://maps.app.goo.gl/BaSsdmwbrz8FJddF8,https://tusachtiasang.org/wp-content/uploads/2023/08/cafe-gan-doi-vong-canh-2.2-min-768x1024.jpg,"16.4289364,107.5616699","4,6",12,"89 Huyền Trân Công Chúa, Thủy Biều, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
O2 Cafe,https://maps.app.goo.gl/f4B5r2Z9gHjMR7sv5,https://kienanthinh.com/files/common/thiet-ke-noi-that-quan-cafe-o2-coffee-lujal.jpg,"16.4694808,107.569725","4,4",58,"83 Yết Kiêu, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Hue Crown Boutique Garden Coffee,https://maps.app.goo.gl/11VditKmSLPrYxARA,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c4/85/f4/getlstd-property-photo.jpg,"16.4521883,107.6190844","4,7",45,"Văn Tiến Dũng, An Đông, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Tiệm cà phê 81,https://maps.app.goo.gl/DgdeeD51tW9EG8HSA,https://cdn.alongwalk.info/info/wp-content/uploads/2022/07/24050516/image-top-8-quan-cafe-phong-cach-co-dien-tai-sai-gon-165858871622431.jpg,"16.4307624,107.5604685","4,4",83,"81 Huyền Trân Công Chúa, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
Cà phê Mộc Cà - 101 Lê Ngô Cát,https://maps.app.goo.gl/TyMFb3YXrd4TbrBSA,https://vietnam.com.co/wp-content/uploads/2024/04/Ca-phe-Moc-Ca-101-Le-Ngo-Cat.jpeg,"16.4358708,107.5680925","4,2",5,"101 Lê Ng. Cát, Thủy Xuân, Thành phố Huế, Thừa Thiên Huế 53000, Việt Nam"
Cà phê 1976 cs1,https://maps.app.goo.gl/XGUj8joUoxEx6hiK8,https://nhahanghue.com/wp-content/uploads/cache/images/ca-phe-1976-o-hue/ca-phe-1976-o-hue-3438256033.jpg,"16.4564888,107.6014017","4,3",21,"12 Hải Triều, An Cựu, Thành phố Huế, Thừa Thiên Huế"
Quán Cafe đẹp ở Huế - Thanh Cafe (Phong cách Nhật Bản),https://maps.app.goo.gl/B1E4ZyYRdoZ3QMTP8,https://adormusic.s3.us-east-2.amazonaws.com/wp-content/uploads/2023/08/11025409/Tha%CC%80nh-Cafe-1024x683.jpg,"16.4484336,107.59671",5,24,"97 Ngự Bình, An Cựu, Thành phố Huế, Thừa Thiên Huế 49129"
HUE CAFE ROASTERY,https://maps.app.goo.gl/esw83nLxh2byQ5AD9,https://cattour.vn/images/upload/images/hue/cafe-hue/Hue-Caf%C3%A9-Roastery.jpg,"16.4769291,107.5862168","4,4",35,"131 Huỳnh Thúc Kháng, Phú Hoà, Thành phố Huế, Thừa Thiên Huế"
Quán Cà phê Chiều,https://maps.app.goo.gl/YA6tTB67XZeCWhjq9,https://thanhphohue.net/wp-content/uploads/2024/03/chieu_cafe_hue_01.jpg,"16.4724529,107.5755759","4,3",345,"44 Đặng Thái Thân, Thuận Thành, Thành phố Huế, Thừa Thiên Huế, Việt Nam"
View Cafe,https://maps.app.goo.gl/mAD7BqpD4PTGb2z79,https://thanhphohue.net/wp-content/uploads/2023/12/view_cafe_hue_03.jpg,"16.46629,107.5947368","4,4",164,"37 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế 49000"
Nối Coffee & Milktea,https://maps.app.goo.gl/UWgXGhHKr6vccU3q6,https://www.cotrang.org/public/images/tin_dang/2/103_noi-cafe-11-ly-thuong-kiet-bk-1.jpg,"16.4617888,107.5914241",4,413,"11 Lý Thường Kiệt, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Hello Coffee,https://maps.app.goo.gl/PxWqrC8M2vfb2cA86,https://nhahanghue.com/wp-content/uploads/hello-coffee-hue-003.jpg,"16.4567598,107.5832903","4,1",256,"47 Trần Thúc Nhẫn, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
GỐM café,https://maps.app.goo.gl/49Yt9MyBWjLg568G9,https://hues.vn/wp-content/uploads/2023/07/hues.vn-gom-cafe-50-nguyen-khuyen-7.jpg,"16.457852,107.5963011","4,3",80,"50 Nguyễn Khuyến, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế"
Gác Trịnh Coffee,https://maps.app.goo.gl/UCdEoJZnR3wbrnqf9,https://media2.gody.vn/public/mytravelmap/images/2017/10/16/totallyspies.sam323108/ade333507ac498592afc2c0c644d272a.jpg,"16.4558904,107.5841433",4.5,220,"Số nhà 19 phòng 203 (Tầng 2, Nguyễn Trường Tộ, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế 70010, Việt Nam"
DAUDO,https://maps.app.goo.gl/74jkLdc6qXuP98uK8,https://www.willflyforfood.net/wp-content/uploads/2023/03/hue-cafes-daudo2.jpg,"16.472669,107.595883","4,6",111,"5 kiệt 7 Nguyễn Công Trứ, Phú Hội, Thành phố Huế, Thừa Thiên Huế"
de.hiên,https://maps.app.goo.gl/gDLj2eo6fW3nuX957,https://tusachtiasang.org/wp-content/uploads/2023/08/cafe-tran-thuc-nhan-1.1-min.jpg,"16.4570227,107.5828303","4,2",56,"30 Trần Thúc Nhẫn, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế 52000"
Diamond Coffee,https://maps.app.goo.gl/QTYWqeNNjaPH9JCf9,https://gcs.tripi.vn/public-tripi/tripi-feed/img/473813jhC/diamond-coffee-793230.jpg,"16.4652758,107.5954528","4,5",227,"27 Trần Quang Khải, Phú Hội, Thành phố Huế, Thừa Thiên Huế 49000"
Hoiana Coffee,https://maps.app.goo.gl/Rp6koXKgVEBSRYQ3A,https://cafesongao.com/wp-content/uploads/2021/10/cafe-hoiana-6.jpg,"16.4647999,107.5885151","4,5",54,"03 Trương Định, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế 530000"
The Lab Coffee,https://maps.app.goo.gl/Ro3vt36cupBdM3b97,https://tusachtiasang.org/wp-content/uploads/2023/08/cafe-dua-o-hue-5.4-min.jpg,"16.4701357,107.5944771","4,4",34,"3, Lý Thường Kiệt/66 Lê Lợi, Phú Hội, Thành phố Huế"
La Porte Cafe & Tea,https://maps.app.goo.gl/h1Ffpgun5QPyDhs58,https://vietnam.com.co/wp-content/uploads/2024/04/La-Porte-Cafe-Tea.png,"16.4642811,107.5754181",4,96,"02 Nguyễn Trãi, Thuận Hoà, Thành phố Huế, Thừa Thiên Huế"
Vũ Café,https://maps.app.goo.gl/NzcnqUZMybQpvE8Z7,,"16.4930461,107.585845",4,56,"E25, Nguyễn Hàm Ninh, Phú Hiệp, Thành phố Huế, Thừa Thiên Huế"
Giang - Góc Sân & Khoảng Trời,https://maps.app.goo.gl/aQQBTs7vYR1WRB3UA,,"16.4619513,107.5920138","4,9",82,"15/15 Đống Đa, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế 530000"
Deja Vu Coffee,https://maps.app.goo.gl/qtEtZTtJbrqfEWYo6,https://i.ytimg.com/vi/XpaGvEgwifU/maxresdefault.jpg,"16.4510146,107.5817189","4,3",77,"6B Sư Liễu Quán, Trường An, Thành phố Huế, Thừa Thiên Huế 530000"
Sline Coffee Signature,https://maps.app.goo.gl/dECBX5RhnGS6EY5S7,https://d3tosvr3yotk6r.cloudfront.net/Content/UserUploads/Images/Locations/4/2199/medium_261043916_267848678736686_5211855457696515325_n.jpg,"16.4643995,107.5898367","4,3",128,"7 Phạm Hồng Thái, Vĩnh Ninh, Thành phố Huế, Thừa Thiên Huế"
Trà Sữa Ô Long Lasimi - Huế,https://maps.app.goo.gl/GGo5RtmMx3eVcqMp9,https://toplist.vn/images/800px/tra-sua-o-long-lasimi-1160780.jpg,"16.4639457,107.5989653","4,4",48,"40 Đ. Nguyễn Lương Bằng, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế 53000"
Gong Cha Huế,https://maps.app.goo.gl/P1WwzkcBNdLPuQJk6,https://gongcha.com.vn/wp-content/uploads/2018/06/Hinh-Web-OKINAWA-LATTE.png,"16.4591052,107.5984608","4,2",516,"121 Nguyễn Huệ, Phú Nhuận, Thành phố Huế, Thừa Thiên Huế 530000"
Mr GOOD TEA Huế,https://maps.app.goo.gl/TP9J3QhdeWUiD8Hm9,https://channel.mediacdn.vn//prupload/271/2016/10/img_201610181556461653.png,"16.4765361,107.5794318","4,1",137,"108 Nhật Lệ, Thuận Thành, Thành phố Huế, Thừa Thiên Huế"
